"/循环时间","_id","Al","B","C","Cb","Co","Cr","Hf","Mo","Ni","Ti","Zr","低周疲劳极限/切口因素","低周疲劳极限/温度","冷却/空冷","力学性能/低周疲劳极限","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效1/时效时间","时效1/时效温度","材料牌号","热处理工艺/加热时间","热处理工艺/加热温度","热等静压/压力","热等静压/时间","热等静压/温度"
"4832周数","ObjectId(""5b4d2d2ee6b1a819a85d8f3d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","4832.8312Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7344周数","ObjectId(""5b4d2d32e6b1a819a85d8f3f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","7344.0800Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5590周数","ObjectId(""5b4d2d37e6b1a819a85d8f41"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","5590.0291Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"7146周数","ObjectId(""5b4d2d3ce6b1a819a85d8f43"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","7146.3629Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"5957周数","ObjectId(""5b4d2d41e6b1a819a85d8f45"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","5957.5749Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"3645周数","ObjectId(""5b4d2d4be6b1a819a85d8f47"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","3746.1042Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"88733周数","ObjectId(""5b4d2d50e6b1a819a85d8f49"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1044.9333Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"86267周数","ObjectId(""5b4d2d55e6b1a819a85d8f4b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1053.3432Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"86287周数","ObjectId(""5b4d2d59e6b1a819a85d8f4d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1058.9786Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"12781周数","ObjectId(""5b4d2d5ee6b1a819a85d8f4f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1075.8500Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"70771周数","ObjectId(""5b4d2d64e6b1a819a85d8f51"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1087.0862Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"4178周数","ObjectId(""5b4d2d69e6b1a819a85d8f53"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","4178.5901Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"3884周数","ObjectId(""5b4d2d6ee6b1a819a85d8f55"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","3992.4115Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"99369周数","ObjectId(""5b4d2d73e6b1a819a85d8f57"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1028.0446Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"4373周数","ObjectId(""5b4d2d77e6b1a819a85d8f59"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","4373.0421Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"92583周数","ObjectId(""5b4d2d7ce6b1a819a85d8f5b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1039.2980Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"95237周数","ObjectId(""5b4d2d81e6b1a819a85d8f5d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1033.6800Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"99369周数","ObjectId(""5b4d2d86e6b1a819a85d8f5f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","3645.2517Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"79248周数","ObjectId(""5b4d2d8be6b1a819a85d8f61"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1067.4057Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"3746周数","ObjectId(""5b4d2d90e6b1a819a85d8f63"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","635℃","2 ","  ","3884.9279Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"41928周数","ObjectId(""5b4d2d9ae6b1a819a85d8f65"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1168.6863Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"47630周数","ObjectId(""5b4d2d9ee6b1a819a85d8f67"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1154.5721Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"32966周数","ObjectId(""5b4d2da3e6b1a819a85d8f69"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1208.0645Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"48991周数","ObjectId(""5b4d2da8e6b1a819a85d8f6b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1146.1622Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"40184周数","ObjectId(""5b4d2db0e6b1a819a85d8f6d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1174.3216Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"53326周数","ObjectId(""5b4d2db5e6b1a819a85d8f6f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1129.3080Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"34393周数","ObjectId(""5b4d2dbae6b1a819a85d8f71"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1199.6374Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"56431周数","ObjectId(""5b4d2dbfe6b1a819a85d8f73"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1120.8636Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"59718周数","ObjectId(""5b4d2dc4e6b1a819a85d8f75"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1112.4193Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"36397周数","ObjectId(""5b4d2dc8e6b1a819a85d8f77"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1191.1931Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"66876周数","ObjectId(""5b4d2dcde6b1a819a85d8f79"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1095.5306Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"45005周数","ObjectId(""5b4d2dd2e6b1a819a85d8f7b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1160.2247Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"38519周数","ObjectId(""5b4d2dd7e6b1a819a85d8f7d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1185.5405Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"63196周数","ObjectId(""5b4d2ddce6b1a819a85d8f7f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1103.9749Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"51112周数","ObjectId(""5b4d2de1e6b1a819a85d8f81"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1137.7351Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"24153周数","ObjectId(""5b4d2debe6b1a819a85d8f83"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1264.2798Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"18724周数","ObjectId(""5b4d2defe6b1a819a85d8f85"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1306.4672Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"32050周数","ObjectId(""5b4d2df4e6b1a819a85d8f87"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1216.4744Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"25197周数","ObjectId(""5b4d2dfce6b1a819a85d8f89"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1253.0609Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"30286周数","ObjectId(""5b4d2e01e6b1a819a85d8f8b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1224.9188Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"17946周数","ObjectId(""5b4d2e06e6b1a819a85d8f8d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1312.1025Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"16027周数","ObjectId(""5b4d2e0be6b1a819a85d8f8f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1334.5748Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"16721周数","ObjectId(""5b4d2e10e6b1a819a85d8f91"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1326.1477Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"26665周数","ObjectId(""5b4d2e15e6b1a819a85d8f93"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1244.6165Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"22822周数","ObjectId(""5b4d2e1ae6b1a819a85d8f95"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1269.9324Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"17201周数","ObjectId(""5b4d2e1fe6b1a819a85d8f97"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1320.5296Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"19535周数","ObjectId(""5b4d2e24e6b1a819a85d8f99"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1298.0400Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"28619周数","ObjectId(""5b4d2e29e6b1a819a85d8f9b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1233.3631Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"20673周数","ObjectId(""5b4d2e2ee6b1a819a85d8f9d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1289.5957Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"21875周数","ObjectId(""5b4d2e33e6b1a819a85d8f9f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1278.3595Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"15581周数","ObjectId(""5b4d2e3ce6b1a819a85d8fa1"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1340.1929Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"58468周数","ObjectId(""5b4d2e41e6b1a819a85d8fa3"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","1 ","  ","981.1253Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"37879周数","ObjectId(""5b4d2e46e6b1a819a85d8fa5"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","1 ","  ","1054.0837Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"14312周数","ObjectId(""5b4d2e4be6b1a819a85d8fa7"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1351.4635Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"12781周数","ObjectId(""5b4d2e50e6b1a819a85d8fa9"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1371.1440Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"52270周数","ObjectId(""5b4d2e55e6b1a819a85d8fab"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","1 ","  ","997.9539Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"14933周数","ObjectId(""5b4d2e5ae6b1a819a85d8fad"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1345.8282Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"49422周数","ObjectId(""5b4d2e5fe6b1a819a85d8faf"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","1 ","  ","1006.3854Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"13334周数","ObjectId(""5b4d2e63e6b1a819a85d8fb1"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","1 ","  ","1362.7169Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
